Calculation1,School,City,County/State/ Territory,Count,All,African American,American Indian,Hispanic/ Latinx,Pacific Islander,Asian,White,Domestic Unknown,Int'l
ACADEMY OF CAREERS AND EXPLORA51123,ACADEMY OF CAREERS AND EXPLORA,Helendale,San Bernardino,Enr,4,,,3,,,,,
ACADEMY OF INNOVATION53914,ACADEMY OF INNOVATION,Hemet,Riverside,App,,,,,,,,,
ACADEMY OF INNOVATION53914,ACADEMY OF INNOVATION,Hemet,Riverside,Adm,,,,,,,,,
ACADEMY OF INNOVATION53914,ACADEMY OF INNOVATION,Hemet,Riverside,Enr,,,,,,,,,
ACADEMY OF MEDICAL ARTS AT CARSON54618,ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,App,39,5,,10,,24,,,
ACADEMY OF MEDICAL ARTS AT CARSON54618,ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,Adm,25,,,5,,18,,,
ACADEMY OF MEDICAL ARTS AT CARSON54618,ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,Enr,13,,,,,9,,,
ACADEMY OF SCIENTIFIC EXPLORAT54563,ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,App,34,,,32,,,,,
ACADEMY OF SCIENTIFIC EXPLORAT54563,ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,Adm,20,,,18,,,,,
ACADEMY OF SCIENTIFIC EXPLORAT54563,ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,Enr,8,,,,,,,,
ACADEMY OF THE CANYONS53262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,App,73,6,,17,,33,11,6,
ACADEMY OF THE CANYONS53262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,Adm,46,3,,10,,22,6,5,
ACADEMY OF THE CANYONS53262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,Enr,23,,,6,,11,3,,
ACADEMY OF THE REDWOODS54135,ACADEMY OF THE REDWOODS,Eureka,Humboldt,App,8,,,,,,7,,
ACADEMY OF THE REDWOODS54135,ACADEMY OF THE REDWOODS,Eureka,Humboldt,Adm,7,,,,,,,,
ACADEMY OF THE REDWOODS54135,ACADEMY OF THE REDWOODS,Eureka,Humboldt,Enr,5,,,,,,,,
ACADEMY-SAN FRAN @ MCATEER54439,ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,App,30,,,9,,15,,,
ACADEMY-SAN FRAN @ MCATEER54439,ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,Adm,22,,,4,,13,,,
ACADEMY-SAN FRAN @ MCATEER54439,ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,Enr,10,,,,,5,,,
ACALANES CENTER FOR IND STUDY53926,ACALANES CENTER FOR IND STUDY,Walnut Creek,Contra Costa,App,,,,,,,,,
ACALANES CENTER FOR IND STUDY53926,ACALANES CENTER FOR IND STUDY,Walnut Creek,Contra Costa,Adm,,,,,,,,,
ACALANES CENTER FOR IND STUDY53926,ACALANES CENTER FOR IND STUDY,Walnut Creek,Contra Costa,Enr,,,,,,,,,
ACALANES HIGH SCHOOL51315,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,App,183,,,27,,41,103,8,
ACALANES HIGH SCHOOL51315,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,Adm,115,,,18,,29,61,4,
ACALANES HIGH SCHOOL51315,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,Enr,60,,,9,,17,30,,
ACE CHARTER HIGH SCHOOL54660,ACE CHARTER HIGH SCHOOL,San Jose,Santa Clara,App,28,,,25,,,,,
ACE CHARTER HIGH SCHOOL54660,ACE CHARTER HIGH SCHOOL,San Jose,Santa Clara,Adm,24,,,23,,,,,
ACE CHARTER HIGH SCHOOL54660,ACE CHARTER HIGH SCHOOL,San Jose,Santa Clara,Enr,4,,,,,,,,
ADELANTO HIGH SCHOOL54672,ADELANTO HIGH SCHOOL,Adelanto,San Bernardino,App,83,18,,60,,,,,
ADELANTO HIGH SCHOOL54672,ADELANTO HIGH SCHOOL,Adelanto,San Bernardino,Adm,51,8,,39,,,,,
ADELANTO HIGH SCHOOL54672,ADELANTO HIGH SCHOOL,Adelanto,San Bernardino,Enr,21,,,19,,,,,
ADOLFO CAMARILLO HIGH SCHOOL50438,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,App,133,,,47,,44,33,,
ADOLFO CAMARILLO HIGH SCHOOL50438,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,Adm,87,,,27,,29,23,,
ADOLFO CAMARILLO HIGH SCHOOL50438,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,Enr,42,,,11,,19,9,,
ADRIAN C WILCOX HIGH SCHOOL53276,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,App,179,6,,16,,112,32,,10
ADRIAN C WILCOX HIGH SCHOOL53276,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,Adm,142,,,11,,97,21,,8
ADRIAN C WILCOX HIGH SCHOOL53276,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,Enr,70,,,3,,49,11,,5
ADULT HIGH SCHOOL - PACCD54843,ADULT HIGH SCHOOL - PACCD,Pasadena,Los Angeles,App,,,,,,,,,
ADULT HIGH SCHOOL - PACCD54843,ADULT HIGH SCHOOL - PACCD,Pasadena,Los Angeles,Adm,,,,,,,,,
ADULT HIGH SCHOOL - PACCD54843,ADULT HIGH SCHOOL - PACCD,Pasadena,Los Angeles,Enr,,,,,,,,,
ADVANCED LRNG ACDMY EARLY COLG51005,ADVANCED LRNG ACDMY EARLY COLG,Santa Ana,Orange,App,11,,,10,,,,,
ADVANCED LRNG ACDMY EARLY COLG51005,ADVANCED LRNG ACDMY EARLY COLG,Santa Ana,Orange,Adm,6,,,,,,,,
ADVANCED LRNG ACDMY EARLY COLG51005,ADVANCED LRNG ACDMY EARLY COLG,Santa Ana,Orange,Enr,3,,,,,,,,
AEROSTEM ACADEMY54965,AEROSTEM ACADEMY,Yuba City,Sutter,App,,,,,,,,,
AEROSTEM ACADEMY54965,AEROSTEM ACADEMY,Yuba City,Sutter,Adm,,,,,,,,,
AEROSTEM ACADEMY54965,AEROSTEM ACADEMY,Yuba City,Sutter,Enr,,,,,,,,,
AGOURA HIGH SCHOOL50003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,App,143,6,,19,,31,81,,
AGOURA HIGH SCHOOL50003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,Adm,90,3,,8,,25,50,4,
AGOURA HIGH SCHOOL50003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,Enr,42,,,3,,14,22,,
AIMS COLLEGE PREP HIGH SCHOOL54176,AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda,App,91,31,,16,,35,6,,
AIMS COLLEGE PREP HIGH SCHOOL54176,AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda,Adm,67,28,,7,,29,,,
AIMS COLLEGE PREP HIGH SCHOOL54176,AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda,Enr,40,16,,3,,20,,,
ALAIN LEROY LOCKE COLLEGE PREP54367,ALAIN LEROY LOCKE COLLEGE PREP,Los Angeles,Los Angeles,App,90,,,87,,,,,
ALAIN LEROY LOCKE COLLEGE PREP54367,ALAIN LEROY LOCKE COLLEGE PREP,Los Angeles,Los Angeles,Adm,60,,,59,,,,,
ALAIN LEROY LOCKE COLLEGE PREP54367,ALAIN LEROY LOCKE COLLEGE PREP,Los Angeles,Los Angeles,Enr,20,,,,,,,,
ALAMEDA COMMUNITY LEARNING CTR50011,ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,App,22,,,5,,6,11,,
ALAMEDA COMMUNITY LEARNING CTR50011,ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,Adm,14,,,,,5,8,,
ALAMEDA COMMUNITY LEARNING CTR50011,ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,Enr,7,,,,,4,3,,
ALAMEDA COUNTY OFFICE OF EDU51209,ALAMEDA COUNTY OFFICE OF EDU,Hayward,Alameda,App,,,,,,,,,
ALAMEDA COUNTY OFFICE OF EDU51209,ALAMEDA COUNTY OFFICE OF EDU,Hayward,Alameda,Adm,,,,,,,,,
ALAMEDA COUNTY OFFICE OF EDU51209,ALAMEDA COUNTY OFFICE OF EDU,Hayward,Alameda,Enr,,,,,,,,,
ALAMEDA HIGH SCHOOL50005,ALAMEDA HIGH SCHOOL,Alameda,Alameda,App,238,13,,37,,117,64,,
ALAMEDA HIGH SCHOOL50005,ALAMEDA HIGH SCHOOL,Alameda,Alameda,Adm,190,11,,31,,89,53,,
ALAMEDA HIGH SCHOOL50005,ALAMEDA HIGH SCHOOL,Alameda,Alameda,Enr,95,4,,17,,53,18,,
ALAMEDA SCIENCE & TECHLGY INST50029,ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,App,41,6,,,,29,5,,
ALAMEDA SCIENCE & TECHLGY INST50029,ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,Adm,29,4,,,,20,4,,
ALAMEDA SCIENCE & TECHLGY INST50029,ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,Enr,21,,,,,16,,,
ALBANY HIGH SCHOOL50035,ALBANY HIGH SCHOOL,Albany,Alameda,App,183,11,,26,,89,51,,
ALBANY HIGH SCHOOL50035,ALBANY HIGH SCHOOL,Albany,Alameda,Adm,132,7,,17,,69,33,,
ALBANY HIGH SCHOOL50035,ALBANY HIGH SCHOOL,Albany,Alameda,Enr,81,5,,10,,45,17,,
ALEXANDER HAMILTON HIGH SCHOOL51525,ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,App,213,65,,100,,10,35,,
ALEXANDER HAMILTON HIGH SCHOOL51525,ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,Adm,156,40,,78,,8,27,,
ALEXANDER HAMILTON HIGH SCHOOL51525,ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,Enr,74,23,,36,,3,12,,
ALHAMBRA HIGH SCHOOL50050,ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,App,216,6,,69,,138,,,
ALHAMBRA HIGH SCHOOL50050,ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,Adm,127,3,,29,,95,,,
ALHAMBRA HIGH SCHOOL50050,ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,Enr,66,,,8,,57,,,
ALHAMBRA HIGH SCHOOL51915,ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,App,57,6,,12,,15,19,,
ALHAMBRA HIGH SCHOOL51915,ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,Adm,37,3,,5,,13,13,,
ALHAMBRA HIGH SCHOOL51915,ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,Enr,22,,,3,,8,7,,
ALISAL HIGH SCHOOL52742,ALISAL HIGH SCHOOL,Salinas,Monterey,App,170,,,166,,,,,
ALISAL HIGH SCHOOL52742,ALISAL HIGH SCHOOL,Salinas,Monterey,Adm,124,,,121,,,,,
ALISAL HIGH SCHOOL52742,ALISAL HIGH SCHOOL,Salinas,Monterey,Enr,45,,,44,,,,,
ALISO NIGUEL HIGH SCHOOL51324,ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,App,252,14,,41,,81,94,13,5
ALISO NIGUEL HIGH SCHOOL51324,ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,Adm,165,8,,25,,60,58,,3
ALISO NIGUEL HIGH SCHOOL51324,ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,Enr,84,4,,7,,35,31,,
ALL TRIBES AM INDIAN CHARTER SCHOOL54008,ALL TRIBES AM INDIAN CHARTER SCHOOL,Valley Center,San Diego,App,,,,,,,,,
ALL TRIBES AM INDIAN CHARTER SCHOOL54008,ALL TRIBES AM INDIAN CHARTER SCHOOL,Valley Center,San Diego,Adm,,,,,,,,,
ALL TRIBES AM INDIAN CHARTER SCHOOL54008,ALL TRIBES AM INDIAN CHARTER SCHOOL,Valley Center,San Diego,Enr,,,,,,,,,
ALLIANCE CINDY/BILL SIMON TECH51804,ALLIANCE CINDY/BILL SIMON TECH,Los Angeles,Los Angeles,App,47,,,45,,,,,
ALLIANCE CINDY/BILL SIMON TECH51804,ALLIANCE CINDY/BILL SIMON TECH,Los Angeles,Los Angeles,Adm,40,,,38,,,,,
ALLIANCE CINDY/BILL SIMON TECH51804,ALLIANCE CINDY/BILL SIMON TECH,Los Angeles,Los Angeles,Enr,6,,,,,,,,
ALLIANCE COLLINS FAMILY COLRDY54118,ALLIANCE COLLINS FAMILY COLRDY,Huntington Park,Los Angeles,App,70,,,69,,,,,
ALLIANCE COLLINS FAMILY COLRDY54118,ALLIANCE COLLINS FAMILY COLRDY,Huntington Park,Los Angeles,Adm,50,,,49,,,,,
ALLIANCE COLLINS FAMILY COLRDY54118,ALLIANCE COLLINS FAMILY COLRDY,Huntington Park,Los Angeles,Enr,14,,,13,,,,,
ALLIANCE DR OLGA MOHAN HIGH SC51779,ALLIANCE DR OLGA MOHAN HIGH SC,Los Angeles,Los Angeles,App,75,,,71,,,,,
ALLIANCE DR OLGA MOHAN HIGH SC51779,ALLIANCE DR OLGA MOHAN HIGH SC,Los Angeles,Los Angeles,Adm,63,,,59,,,,,
ALLIANCE DR OLGA MOHAN HIGH SC51779,ALLIANCE DR OLGA MOHAN HIGH SC,Los Angeles,Los Angeles,Enr,36,,,33,,,,,
ALLIANCE GERTZ-RESSLER HIGH SC53983,ALLIANCE GERTZ-RESSLER HIGH SC,Los Angeles,Los Angeles,App,72,,,71,,,,,
ALLIANCE GERTZ-RESSLER HIGH SC53983,ALLIANCE GERTZ-RESSLER HIGH SC,Los Angeles,Los Angeles,Adm,64,,,63,,,,,
ALLIANCE GERTZ-RESSLER HIGH SC53983,ALLIANCE GERTZ-RESSLER HIGH SC,Los Angeles,Los Angeles,Enr,24,,,,,,,,
