Calculation1,School,City,County/State/ Territory,Count,All,African American,American Indian,Hispanic/ Latinx,Pacific Islander,Asian,White,Domestic Unknown,Int'l
CENTER HIGH SCHOOL52141,CENTER HIGH SCHOOL,Antelope,Sacramento,App,28,5,,6,,8,7,,
CENTER HIGH SCHOOL52141,CENTER HIGH SCHOOL,Antelope,Sacramento,Adm,19,4,,3,,6,5,,
CENTER HIGH SCHOOL52141,CENTER HIGH SCHOOL,Antelope,Sacramento,Enr,11,,,,,4,3,,
CENTINELA VALLEY INDEPENDENT54754,CENTINELA VALLEY INDEPENDENT,Lawndale,Los Angeles,App,,,,,,,,,
CENTINELA VALLEY INDEPENDENT54754,CENTINELA VALLEY INDEPENDENT,Lawndale,Los Angeles,Adm,,,,,,,,,
CENTINELA VALLEY INDEPENDENT54754,CENTINELA VALLEY INDEPENDENT,Lawndale,Los Angeles,Enr,,,,,,,,,
CENTRAL CITY VALUE HIGH SCHOOL51764,CENTRAL CITY VALUE HIGH SCHOOL,Los Angeles,Los Angeles,App,49,,,46,,,,,
CENTRAL CITY VALUE HIGH SCHOOL51764,CENTRAL CITY VALUE HIGH SCHOOL,Los Angeles,Los Angeles,Adm,34,,,33,,,,,
CENTRAL CITY VALUE HIGH SCHOOL51764,CENTRAL CITY VALUE HIGH SCHOOL,Los Angeles,Los Angeles,Enr,6,,,,,,,,
CENTRAL COAST NEW TECH HIGH SC54664,CENTRAL COAST NEW TECH HIGH SC,Nipomo,San Luis Obispo,App,18,,,8,,,5,,
CENTRAL COAST NEW TECH HIGH SC54664,CENTRAL COAST NEW TECH HIGH SC,Nipomo,San Luis Obispo,Adm,12,,,4,,,4,,
CENTRAL COAST NEW TECH HIGH SC54664,CENTRAL COAST NEW TECH HIGH SC,Nipomo,San Luis Obispo,Enr,4,,,,,,,,
CENTRAL EAST HIGH SCHOOL50975,CENTRAL EAST HIGH SCHOOL,Fresno,Fresno,App,59,8,,25,,18,7,,
CENTRAL EAST HIGH SCHOOL50975,CENTRAL EAST HIGH SCHOOL,Fresno,Fresno,Adm,46,7,,21,,14,4,,
CENTRAL EAST HIGH SCHOOL50975,CENTRAL EAST HIGH SCHOOL,Fresno,Fresno,Enr,18,4,,5,,8,,,
CENTRAL HIGH SCHOOL54996,CENTRAL HIGH SCHOOL,Fresno,Fresno,App,22,,,6,,11,,,
CENTRAL HIGH SCHOOL54996,CENTRAL HIGH SCHOOL,Fresno,Fresno,Adm,16,,,5,,8,,,
CENTRAL HIGH SCHOOL54996,CENTRAL HIGH SCHOOL,Fresno,Fresno,Enr,8,,,,,4,,,
CENTRAL ONLINE HOME SCHOOL53732,CENTRAL ONLINE HOME SCHOOL,Fresno,Fresno,App,,,,,,,,,
CENTRAL ONLINE HOME SCHOOL53732,CENTRAL ONLINE HOME SCHOOL,Fresno,Fresno,Adm,,,,,,,,,
CENTRAL ONLINE HOME SCHOOL53732,CENTRAL ONLINE HOME SCHOOL,Fresno,Fresno,Enr,,,,,,,,,
CENTRAL UNION HIGH SCHOOL50810,CENTRAL UNION HIGH SCHOOL,El Centro,Imperial,App,55,,,52,,,,,
CENTRAL UNION HIGH SCHOOL50810,CENTRAL UNION HIGH SCHOOL,El Centro,Imperial,Adm,38,,,37,,,,,
CENTRAL UNION HIGH SCHOOL50810,CENTRAL UNION HIGH SCHOOL,El Centro,Imperial,Enr,17,,,16,,,,,
CENTRAL VALLEY HIGH SCHOOL50520,CENTRAL VALLEY HIGH SCHOOL,Shasta Lake,Shasta,App,11,,,,,,,,
CENTRAL VALLEY HIGH SCHOOL50520,CENTRAL VALLEY HIGH SCHOOL,Shasta Lake,Shasta,Adm,11,,,,,,,,
CENTRAL VALLEY HIGH SCHOOL50520,CENTRAL VALLEY HIGH SCHOOL,Shasta Lake,Shasta,Enr,3,,,,,,,,
CENTRAL VALLEY HIGH SCHOOL53988,CENTRAL VALLEY HIGH SCHOOL,Ceres,Stanislaus,App,72,,,60,,8,,,
CENTRAL VALLEY HIGH SCHOOL53988,CENTRAL VALLEY HIGH SCHOOL,Ceres,Stanislaus,Adm,61,,,50,,7,,,
CENTRAL VALLEY HIGH SCHOOL53988,CENTRAL VALLEY HIGH SCHOOL,Ceres,Stanislaus,Enr,25,,,19,,3,,,
CENTURY ACADEMY54567,CENTURY ACADEMY,Thousand Oaks,Ventura,App,,,,,,,,,
CENTURY ACADEMY54567,CENTURY ACADEMY,Thousand Oaks,Ventura,Adm,,,,,,,,,
CENTURY ACADEMY54567,CENTURY ACADEMY,Thousand Oaks,Ventura,Enr,,,,,,,,,
CENTURY HIGH SCHOOL53249,CENTURY HIGH SCHOOL,Santa Ana,Orange,App,80,,,75,,,,,
CENTURY HIGH SCHOOL53249,CENTURY HIGH SCHOOL,Santa Ana,Orange,Adm,60,,,57,,,,,
CENTURY HIGH SCHOOL53249,CENTURY HIGH SCHOOL,Santa Ana,Orange,Enr,29,,,27,,,,,
CERES HIGH SCHOOL50525,CERES HIGH SCHOOL,Ceres,Stanislaus,App,61,,,47,,6,,,
CERES HIGH SCHOOL50525,CERES HIGH SCHOOL,Ceres,Stanislaus,Adm,52,,,43,,5,,,
CERES HIGH SCHOOL50525,CERES HIGH SCHOOL,Ceres,Stanislaus,Enr,23,,,21,,,,,
CERRITOS HIGH SCHOOL50527,CERRITOS HIGH SCHOOL,Cerritos,Los Angeles,App,290,13,,43,,213,6,10,5
CERRITOS HIGH SCHOOL50527,CERRITOS HIGH SCHOOL,Cerritos,Los Angeles,Adm,203,8,,27,,154,3,8,3
CERRITOS HIGH SCHOOL50527,CERRITOS HIGH SCHOOL,Cerritos,Los Angeles,Enr,118,6,,10,,93,,6,
CESAR CHAVEZ HIGH SCHOOL53966,CESAR CHAVEZ HIGH SCHOOL,Stockton,San Joaquin,App,80,6,,26,,43,,,
CESAR CHAVEZ HIGH SCHOOL53966,CESAR CHAVEZ HIGH SCHOOL,Stockton,San Joaquin,Adm,46,,,16,,26,,,
CESAR CHAVEZ HIGH SCHOOL53966,CESAR CHAVEZ HIGH SCHOOL,Stockton,San Joaquin,Enr,23,,,5,,15,,,
CESAR CHAVEZ LA ARTES MAGNET54555,CESAR CHAVEZ LA ARTES MAGNET,San Fernando,Los Angeles,App,18,,,17,,,,,
CESAR CHAVEZ LA ARTES MAGNET54555,CESAR CHAVEZ LA ARTES MAGNET,San Fernando,Los Angeles,Adm,10,,,,,,,,
CESAR CHAVEZ LA ARTES MAGNET54555,CESAR CHAVEZ LA ARTES MAGNET,San Fernando,Los Angeles,Enr,7,,,,,,,,
CESAR E CHAVEZ HIGH SCHOOL50841,CESAR E CHAVEZ HIGH SCHOOL,Delano,Kern,App,34,,,24,,10,,,
CESAR E CHAVEZ HIGH SCHOOL50841,CESAR E CHAVEZ HIGH SCHOOL,Delano,Kern,Adm,29,,,20,,9,,,
CESAR E CHAVEZ HIGH SCHOOL50841,CESAR E CHAVEZ HIGH SCHOOL,Delano,Kern,Enr,15,,,13,,,,,
CHAFFEY DISTRICT ONLINE HS54637,CHAFFEY DISTRICT ONLINE HS,Ontario,San Bernardino,App,,,,,,,,,
CHAFFEY DISTRICT ONLINE HS54637,CHAFFEY DISTRICT ONLINE HS,Ontario,San Bernardino,Adm,,,,,,,,,
CHAFFEY DISTRICT ONLINE HS54637,CHAFFEY DISTRICT ONLINE HS,Ontario,San Bernardino,Enr,,,,,,,,,
CHAFFEY HIGH SCHOOL52275,CHAFFEY HIGH SCHOOL,Ontario,San Bernardino,App,102,7,,85,,6,,,
CHAFFEY HIGH SCHOOL52275,CHAFFEY HIGH SCHOOL,Ontario,San Bernardino,Adm,81,6,,65,,6,,,
CHAFFEY HIGH SCHOOL52275,CHAFFEY HIGH SCHOOL,Ontario,San Bernardino,Enr,40,3,,31,,3,,,
CHANNEL ISLANDS HIGH SCHOOL52297,CHANNEL ISLANDS HIGH SCHOOL,Oxnard,Ventura,App,88,,,68,,16,,,
CHANNEL ISLANDS HIGH SCHOOL52297,CHANNEL ISLANDS HIGH SCHOOL,Oxnard,Ventura,Adm,64,,,49,,11,,,
CHANNEL ISLANDS HIGH SCHOOL52297,CHANNEL ISLANDS HIGH SCHOOL,Oxnard,Ventura,Enr,35,,,25,,8,,,
CHAPARRAL HIGH SCHOOL53539,CHAPARRAL HIGH SCHOOL,Temecula,Riverside,App,173,27,,60,,38,44,,
CHAPARRAL HIGH SCHOOL53539,CHAPARRAL HIGH SCHOOL,Temecula,Riverside,Adm,106,13,,33,,31,27,,
CHAPARRAL HIGH SCHOOL53539,CHAPARRAL HIGH SCHOOL,Temecula,Riverside,Enr,53,6,,18,,16,13,,
CHARLES ZUPANIC HIGH SCHOOL53967,CHARLES ZUPANIC HIGH SCHOOL,Rialto,San Bernardino,App,,,,,,,,,
CHARLES ZUPANIC HIGH SCHOOL53967,CHARLES ZUPANIC HIGH SCHOOL,Rialto,San Bernardino,Adm,,,,,,,,,
CHARLES ZUPANIC HIGH SCHOOL53967,CHARLES ZUPANIC HIGH SCHOOL,Rialto,San Bernardino,Enr,,,,,,,,,
CHARTER COMMUNITY SCHOOL52483,CHARTER COMMUNITY SCHOOL,Placerville,El Dorado,App,,,,,,,,,
CHARTER COMMUNITY SCHOOL52483,CHARTER COMMUNITY SCHOOL,Placerville,El Dorado,Adm,,,,,,,,,
CHARTER COMMUNITY SCHOOL52483,CHARTER COMMUNITY SCHOOL,Placerville,El Dorado,Enr,,,,,,,,,
CHARTER HS ARTS MEDIA PERFORM54046,CHARTER HS ARTS MEDIA PERFORM,Van Nuys,Los Angeles,App,17,,,7,,,9,,
CHARTER HS ARTS MEDIA PERFORM54046,CHARTER HS ARTS MEDIA PERFORM,Van Nuys,Los Angeles,Adm,13,,,5,,,8,,
CHARTER HS ARTS MEDIA PERFORM54046,CHARTER HS ARTS MEDIA PERFORM,Van Nuys,Los Angeles,Enr,6,,,3,,,3,,
CHARTER OAK HIGH SCHOOL50693,CHARTER OAK HIGH SCHOOL,Covina,Los Angeles,App,68,5,,42,,10,10,,
CHARTER OAK HIGH SCHOOL50693,CHARTER OAK HIGH SCHOOL,Covina,Los Angeles,Adm,34,,,23,,5,4,,
CHARTER OAK HIGH SCHOOL50693,CHARTER OAK HIGH SCHOOL,Covina,Los Angeles,Enr,16,,,12,,,,,
CHARTER SCHOOL OF SAN DIEGO52831,CHARTER SCHOOL OF SAN DIEGO,San Diego,San Diego,App,11,,,6,,,,,
CHARTER SCHOOL OF SAN DIEGO52831,CHARTER SCHOOL OF SAN DIEGO,San Diego,San Diego,Adm,6,,,3,,,,,
CHARTER SCHOOL OF SAN DIEGO52831,CHARTER SCHOOL OF SAN DIEGO,San Diego,San Diego,Enr,3,,,,,,,,
CHATSWORTH HIGH SCHOOL50528,CHATSWORTH HIGH SCHOOL,Chatsworth,Los Angeles,App,100,6,,51,,32,9,,
CHATSWORTH HIGH SCHOOL50528,CHATSWORTH HIGH SCHOOL,Chatsworth,Los Angeles,Adm,62,3,,28,,23,6,,
CHATSWORTH HIGH SCHOOL50528,CHATSWORTH HIGH SCHOOL,Chatsworth,Los Angeles,Enr,29,,,9,,14,3,,
CHESTER HIGH SCHOOL50535,CHESTER HIGH SCHOOL,Chester,Plumas,App,,,,,,,,,
CHESTER HIGH SCHOOL50535,CHESTER HIGH SCHOOL,Chester,Plumas,Adm,,,,,,,,,
CHESTER HIGH SCHOOL50535,CHESTER HIGH SCHOOL,Chester,Plumas,Enr,,,,,,,,,
CHICO SENIOR HIGH SCHOOL50545,CHICO SENIOR HIGH SCHOOL,Chico,Butte,App,75,,5,18,,8,40,,
CHICO SENIOR HIGH SCHOOL50545,CHICO SENIOR HIGH SCHOOL,Chico,Butte,Adm,47,,4,9,,6,26,,
CHICO SENIOR HIGH SCHOOL50545,CHICO SENIOR HIGH SCHOOL,Chico,Butte,Enr,18,,,3,,,12,,
CHINO HIGH SCHOOL50555,CHINO HIGH SCHOOL,Chino,San Bernardino,App,92,,,65,,16,5,,
CHINO HIGH SCHOOL50555,CHINO HIGH SCHOOL,Chino,San Bernardino,Adm,51,,,37,,8,3,,
CHINO HIGH SCHOOL50555,CHINO HIGH SCHOOL,Chino,San Bernardino,Enr,23,,,15,,6,,,
CHINO HILLS HIGH SCHOOL50564,CHINO HILLS HIGH SCHOOL,Chino Hills,San Bernardino,App,237,22,,65,,121,22,,
CHINO HILLS HIGH SCHOOL50564,CHINO HILLS HIGH SCHOOL,Chino Hills,San Bernardino,Adm,189,12,,48,,105,17,,
CHINO HILLS HIGH SCHOOL50564,CHINO HILLS HIGH SCHOOL,Chino Hills,San Bernardino,Enr,122,4,,28,,79,10,,
CHOICES CHARTER SCHOOL52933,CHOICES CHARTER SCHOOL,Sacramento,Sacramento,App,,,,,,,,,
CHOICES CHARTER SCHOOL52933,CHOICES CHARTER SCHOOL,Sacramento,Sacramento,Adm,,,,,,,,,
CHOICES CHARTER SCHOOL52933,CHOICES CHARTER SCHOOL,Sacramento,Sacramento,Enr,,,,,,,,,
CHOWCHILLA UNION HIGH SCHOOL50570,CHOWCHILLA UNION HIGH SCHOOL,Chowchilla,Madera,App,23,,,18,,,,,
CHOWCHILLA UNION HIGH SCHOOL50570,CHOWCHILLA UNION HIGH SCHOOL,Chowchilla,Madera,Adm,19,,,14,,,,,
CHOWCHILLA UNION HIGH SCHOOL50570,CHOWCHILLA UNION HIGH SCHOOL,Chowchilla,Madera,Enr,8,,,5,,,,,
CHRISTOPHER HIGH SCHOOL54364,CHRISTOPHER HIGH SCHOOL,Gilroy,Santa Clara,App,77,6,,29,,25,15,,
CHRISTOPHER HIGH SCHOOL54364,CHRISTOPHER HIGH SCHOOL,Gilroy,Santa Clara,Adm,49,5,,16,,14,13,,
CHRISTOPHER HIGH SCHOOL54364,CHRISTOPHER HIGH SCHOOL,Gilroy,Santa Clara,Enr,24,,,9,,7,5,,
CHULA VISTA LRNG CMNTY CHARTER54654,CHULA VISTA LRNG CMNTY CHARTER,Chula Vista,San Diego,App,64,,,61,,,,,
CHULA VISTA LRNG CMNTY CHARTER54654,CHULA VISTA LRNG CMNTY CHARTER,Chula Vista,San Diego,Adm,53,,,50,,,,,
CHULA VISTA LRNG CMNTY CHARTER54654,CHULA VISTA LRNG CMNTY CHARTER,Chula Vista,San Diego,Enr,29,,,,,,,,
CHULA VISTA SENIOR HIGH SCHOOL50580,CHULA VISTA SENIOR HIGH SCHOOL,Chula Vista,San Diego,App,105,6,,89,,7,,,
CHULA VISTA SENIOR HIGH SCHOOL50580,CHULA VISTA SENIOR HIGH SCHOOL,Chula Vista,San Diego,Adm,77,4,,64,,7,,,
CHULA VISTA SENIOR HIGH SCHOOL50580,CHULA VISTA SENIOR HIGH SCHOOL,Chula Vista,San Diego,Enr,34,,,28,,4,,,
CIRCLE OF INDEPENDENT LEARNING51061,CIRCLE OF INDEPENDENT LEARNING,Fremont,Alameda,App,13,,,,,8,,,
CIRCLE OF INDEPENDENT LEARNING51061,CIRCLE OF INDEPENDENT LEARNING,Fremont,Alameda,Adm,10,,,,,7,,,
CIRCLE OF INDEPENDENT LEARNING51061,CIRCLE OF INDEPENDENT LEARNING,Fremont,Alameda,Enr,4,,,,,3,,,
CIS ACADEMY54294,CIS ACADEMY,Pasadena,Los Angeles,App,,,,,,,,,
CIS ACADEMY54294,CIS ACADEMY,Pasadena,Los Angeles,Adm,,,,,,,,,
CIS ACADEMY54294,CIS ACADEMY,Pasadena,Los Angeles,Enr,,,,,,,,,
CITRUS HILL HIGH SCHOOL53978,CITRUS HILL HIGH SCHOOL,Perris,Riverside,App,117,11,,96,,,6,,
CITRUS HILL HIGH SCHOOL53978,CITRUS HILL HIGH SCHOOL,Perris,Riverside,Adm,87,7,,72,,,5,,
CITRUS HILL HIGH SCHOOL53978,CITRUS HILL HIGH SCHOOL,Perris,Riverside,Enr,58,,,51,,,3,,
CITRUS VALLEY HIGH SCHOOL54331,CITRUS VALLEY HIGH SCHOOL,Redlands,San Bernardino,App,104,12,,37,,32,21,,
CITRUS VALLEY HIGH SCHOOL54331,CITRUS VALLEY HIGH SCHOOL,Redlands,San Bernardino,Adm,70,6,,23,,27,12,,
CITRUS VALLEY HIGH SCHOOL54331,CITRUS VALLEY HIGH SCHOOL,Redlands,San Bernardino,Enr,44,3,,14,,17,8,,
CITY ARTS AND LEADERSHIP ACADEMY54047,CITY ARTS AND LEADERSHIP ACADEMY,San Francisco,San Francisco,App,42,,,35,,,,,
CITY ARTS AND LEADERSHIP ACADEMY54047,CITY ARTS AND LEADERSHIP ACADEMY,San Francisco,San Francisco,Adm,25,,,22,,,,,
CITY ARTS AND LEADERSHIP ACADEMY54047,CITY ARTS AND LEADERSHIP ACADEMY,San Francisco,San Francisco,Enr,9,,,8,,,,,
CITY HEIGHTS PREP CHARTER SCHL50685,CITY HEIGHTS PREP CHARTER SCHL,San Diego,San Diego,App,5,,,,,,,,
CITY HEIGHTS PREP CHARTER SCHL50685,CITY HEIGHTS PREP CHARTER SCHL,San Diego,San Diego,Adm,,,,,,,,,
CITY HEIGHTS PREP CHARTER SCHL50685,CITY HEIGHTS PREP CHARTER SCHL,San Diego,San Diego,Enr,,,,,,,,,
CITY HONORS HIGH SCHOOL51261,CITY HONORS HIGH SCHOOL,Inglewood,Los Angeles,App,30,22,,7,,,,,
CITY HONORS HIGH SCHOOL51261,CITY HONORS HIGH SCHOOL,Inglewood,Los Angeles,Adm,22,16,,5,,,,,
CITY HONORS HIGH SCHOOL51261,CITY HONORS HIGH SCHOOL,Inglewood,Los Angeles,Enr,5,3,,,,,,,
CITY OF ANGELS SCHOOL52608,CITY OF ANGELS SCHOOL,Los Angeles,Los Angeles,App,25,,,13,,5,5,,
CITY OF ANGELS SCHOOL52608,CITY OF ANGELS SCHOOL,Los Angeles,Los Angeles,Adm,14,,,5,,4,4,,
CITY OF ANGELS SCHOOL52608,CITY OF ANGELS SCHOOL,Los Angeles,Los Angeles,Enr,3,,,,,,,,
CIVIC CENTER SECONDARY SCHOOL52927,CIVIC CENTER SECONDARY SCHOOL,San Francisco,San Francisco,App,,,,,,,,,
CIVIC CENTER SECONDARY SCHOOL52927,CIVIC CENTER SECONDARY SCHOOL,San Francisco,San Francisco,Adm,,,,,,,,,
CIVIC CENTER SECONDARY SCHOOL52927,CIVIC CENTER SECONDARY SCHOOL,San Francisco,San Francisco,Enr,,,,,,,,,
CLAIREMONT HIGH SCHOOL52837,CLAIREMONT HIGH SCHOOL,San Diego,San Diego,App,48,,,11,,9,23,,
CLAIREMONT HIGH SCHOOL52837,CLAIREMONT HIGH SCHOOL,San Diego,San Diego,Adm,25,,,3,,8,11,,
CLAIREMONT HIGH SCHOOL52837,CLAIREMONT HIGH SCHOOL,San Diego,San Diego,Enr,13,,,,,6,4,,
CLAREMONT HIGH SCHOOL50590,CLAREMONT HIGH SCHOOL,Claremont,Los Angeles,App,187,10,,60,,51,59,,
CLAREMONT HIGH SCHOOL50590,CLAREMONT HIGH SCHOOL,Claremont,Los Angeles,Adm,114,6,,34,,32,38,,
CLAREMONT HIGH SCHOOL50590,CLAREMONT HIGH SCHOOL,Claremont,Los Angeles,Enr,42,,,11,,14,14,,
CLARK MAGNET HIGH SCHOOL51301,CLARK MAGNET HIGH SCHOOL,La Crescenta,Los Angeles,App,135,,,8,,24,100,,
CLARK MAGNET HIGH SCHOOL51301,CLARK MAGNET HIGH SCHOOL,La Crescenta,Los Angeles,Adm,53,,,,,14,35,,
CLARK MAGNET HIGH SCHOOL51301,CLARK MAGNET HIGH SCHOOL,La Crescenta,Los Angeles,Enr,18,,,,,9,8,,
CLARKSVILLE CHARTER SCHOOL50623,CLARKSVILLE CHARTER SCHOOL,El Dorado Hills,El Dorado,App,,,,,,,,,
CLARKSVILLE CHARTER SCHOOL50623,CLARKSVILLE CHARTER SCHOOL,El Dorado Hills,El Dorado,Adm,,,,,,,,,
CLARKSVILLE CHARTER SCHOOL50623,CLARKSVILLE CHARTER SCHOOL,El Dorado Hills,El Dorado,Enr,,,,,,,,,
CLASSICAL ACADEMY HIGH SCHOOL54194,CLASSICAL ACADEMY HIGH SCHOOL,Escondido,San Diego,App,60,,,14,,12,26,,
CLASSICAL ACADEMY HIGH SCHOOL54194,CLASSICAL ACADEMY HIGH SCHOOL,Escondido,San Diego,Adm,36,,,9,,10,11,,
CLASSICAL ACADEMY HIGH SCHOOL54194,CLASSICAL ACADEMY HIGH SCHOOL,Escondido,San Diego,Enr,19,,,5,,7,5,,
CLAYTON VALLEY HIGH SCHOOL50658,CLAYTON VALLEY HIGH SCHOOL,Concord,Contra Costa,App,164,11,,34,,42,73,,
CLAYTON VALLEY HIGH SCHOOL50658,CLAYTON VALLEY HIGH SCHOOL,Concord,Contra Costa,Adm,103,5,,20,,33,42,,
CLAYTON VALLEY HIGH SCHOOL50658,CLAYTON VALLEY HIGH SCHOOL,Concord,Contra Costa,Enr,59,3,,10,,23,22,,
CLEAR LAKE HIGH SCHOOL51345,CLEAR LAKE HIGH SCHOOL,Lakeport,Lake,App,13,,,7,,,5,,
CLEAR LAKE HIGH SCHOOL51345,CLEAR LAKE HIGH SCHOOL,Lakeport,Lake,Adm,6,,,3,,,,,
CLEAR LAKE HIGH SCHOOL51345,CLEAR LAKE HIGH SCHOOL,Lakeport,Lake,Enr,4,,,,,,,,
CLEVELAND HIGH SCHOOL52618,CLEVELAND HIGH SCHOOL,Reseda,Los Angeles,App,199,10,,77,,64,44,,
CLEVELAND HIGH SCHOOL52618,CLEVELAND HIGH SCHOOL,Reseda,Los Angeles,Adm,141,7,,47,,48,38,,
CLEVELAND HIGH SCHOOL52618,CLEVELAND HIGH SCHOOL,Reseda,Los Angeles,Enr,63,4,,13,,29,17,,
CLOVERDALE HIGH SCHOOL50610,CLOVERDALE HIGH SCHOOL,Cloverdale,Sonoma,App,20,,,13,,,5,,
CLOVERDALE HIGH SCHOOL50610,CLOVERDALE HIGH SCHOOL,Cloverdale,Sonoma,Adm,10,,,8,,,,,
CLOVERDALE HIGH SCHOOL50610,CLOVERDALE HIGH SCHOOL,Cloverdale,Sonoma,Enr,3,,,,,,,,
CLOVIS EAST HIGH SCHOOL50622,CLOVIS EAST HIGH SCHOOL,Clovis,Fresno,App,108,6,,33,,51,15,,
CLOVIS EAST HIGH SCHOOL50622,CLOVIS EAST HIGH SCHOOL,Clovis,Fresno,Adm,72,5,,19,,35,11,,
CLOVIS EAST HIGH SCHOOL50622,CLOVIS EAST HIGH SCHOOL,Clovis,Fresno,Enr,25,,,8,,12,5,,
CLOVIS HIGH SCHOOL50615,CLOVIS HIGH SCHOOL,Clovis,Fresno,App,91,11,,37,,25,16,,
CLOVIS HIGH SCHOOL50615,CLOVIS HIGH SCHOOL,Clovis,Fresno,Adm,57,8,,21,,15,11,,
CLOVIS HIGH SCHOOL50615,CLOVIS HIGH SCHOOL,Clovis,Fresno,Enr,28,5,,11,,7,5,,
CLOVIS NORTH HIGH SCHOOL50628,CLOVIS NORTH HIGH SCHOOL,Fresno,Fresno,App,161,15,,34,,64,42,,
CLOVIS NORTH HIGH SCHOOL50628,CLOVIS NORTH HIGH SCHOOL,Fresno,Fresno,Adm,103,3,,20,,50,26,4,
CLOVIS NORTH HIGH SCHOOL50628,CLOVIS NORTH HIGH SCHOOL,Fresno,Fresno,Enr,49,,,9,,26,11,,
CLOVIS ONLINE SCHOOL50606,CLOVIS ONLINE SCHOOL,Clovis,Fresno,App,,,,,,,,,
CLOVIS ONLINE SCHOOL50606,CLOVIS ONLINE SCHOOL,Clovis,Fresno,Adm,,,,,,,,,
CLOVIS ONLINE SCHOOL50606,CLOVIS ONLINE SCHOOL,Clovis,Fresno,Enr,,,,,,,,,
CLOVIS WEST HIGH SCHOOL50982,CLOVIS WEST HIGH SCHOOL,Fresno,Fresno,App,79,12,,24,,13,27,,
CLOVIS WEST HIGH SCHOOL50982,CLOVIS WEST HIGH SCHOOL,Fresno,Fresno,Adm,55,8,,15,,12,17,,
CLOVIS WEST HIGH SCHOOL50982,CLOVIS WEST HIGH SCHOOL,Fresno,Fresno,Enr,27,,,7,,9,7,,
COACHELLA VALLEY HIGH SCHOOL50620,COACHELLA VALLEY HIGH SCHOOL,Thermal,Riverside,App,109,,,105,,,,,
COACHELLA VALLEY HIGH SCHOOL50620,COACHELLA VALLEY HIGH SCHOOL,Thermal,Riverside,Adm,83,,,82,,,,,
COACHELLA VALLEY HIGH SCHOOL50620,COACHELLA VALLEY HIGH SCHOOL,Thermal,Riverside,Enr,43,,,,,,,,
COALINGA HIGH SCHOOL50630,COALINGA HIGH SCHOOL,Coalinga,Fresno,App,25,,,22,,,,,
COALINGA HIGH SCHOOL50630,COALINGA HIGH SCHOOL,Coalinga,Fresno,Adm,18,,,16,,,,,
COALINGA HIGH SCHOOL50630,COALINGA HIGH SCHOOL,Coalinga,Fresno,Enr,10,,,,,,,,
COAST HIGH SCHOOL51684,COAST HIGH SCHOOL,Huntington Beach,Orange,App,5,,,,,,,,
COAST HIGH SCHOOL51684,COAST HIGH SCHOOL,Huntington Beach,Orange,Adm,3,,,,,,,,
COAST HIGH SCHOOL51684,COAST HIGH SCHOOL,Huntington Beach,Orange,Enr,,,,,,,,,
COAST UNION HIGH SCHOOL50440,COAST UNION HIGH SCHOOL,Cambria,San Luis Obispo,App,13,,,10,,,,,
COAST UNION HIGH SCHOOL50440,COAST UNION HIGH SCHOOL,Cambria,San Luis Obispo,Adm,10,,,8,,,,,
COAST UNION HIGH SCHOOL50440,COAST UNION HIGH SCHOOL,Cambria,San Luis Obispo,Enr,,,,,,,,,
COASTAL ACADEMY HS OCEANSIDE51192,COASTAL ACADEMY HS OCEANSIDE,Oceanside,San Diego,App,19,,,,,,12,,
COASTAL ACADEMY HS OCEANSIDE51192,COASTAL ACADEMY HS OCEANSIDE,Oceanside,San Diego,Adm,12,,,,,,8,,
COASTAL ACADEMY HS OCEANSIDE51192,COASTAL ACADEMY HS OCEANSIDE,Oceanside,San Diego,Enr,5,,,,,,4,,
COBALT INSTITUTE MATH/SCIENCE54719,COBALT INSTITUTE MATH/SCIENCE,Victorville,San Bernardino,App,94,11,,67,,8,5,,
COBALT INSTITUTE MATH/SCIENCE54719,COBALT INSTITUTE MATH/SCIENCE,Victorville,San Bernardino,Adm,57,8,,39,,4,4,,
COBALT INSTITUTE MATH/SCIENCE54719,COBALT INSTITUTE MATH/SCIENCE,Victorville,San Bernardino,Enr,14,,,6,,,4,,
COLD STREAM ALTERNATIVE SCHOOL53838,COLD STREAM ALTERNATIVE SCHOOL,Truckee,Placer,App,,,,,,,,,
COLD STREAM ALTERNATIVE SCHOOL53838,COLD STREAM ALTERNATIVE SCHOOL,Truckee,Placer,Adm,,,,,,,,,
COLD STREAM ALTERNATIVE SCHOOL53838,COLD STREAM ALTERNATIVE SCHOOL,Truckee,Placer,Enr,,,,,,,,,
COLEVILLE HIGH SCHOOL50635,COLEVILLE HIGH SCHOOL,Coleville,Mono,App,,,,,,,,,
COLEVILLE HIGH SCHOOL50635,COLEVILLE HIGH SCHOOL,Coleville,Mono,Adm,,,,,,,,,
COLEVILLE HIGH SCHOOL50635,COLEVILLE HIGH SCHOOL,Coleville,Mono,Enr,,,,,,,,,
COLFAX HIGH SCHOOL50637,COLFAX HIGH SCHOOL,Colfax,Placer,App,24,,,6,,6,10,,
COLFAX HIGH SCHOOL50637,COLFAX HIGH SCHOOL,Colfax,Placer,Adm,17,,,5,,5,7,,
COLFAX HIGH SCHOOL50637,COLFAX HIGH SCHOOL,Colfax,Placer,Enr,7,,,,,3,,,
COLISEUM COLLEGE PREP ACADEMY54412,COLISEUM COLLEGE PREP ACADEMY,Oakland,Alameda,App,43,,,38,,,,,
