Calculation1,School,City,County/State/Country,Measure Names,Measure Values
A B MILLER HIGH SCHOOL050944,A B MILLER HIGH SCHOOL,Fontana,San Bernardino,Enrl GPA,3.784390244
A B MILLER HIGH SCHOOL050944,A B MILLER HIGH SCHOOL,Fontana,San Bernardino,Adm GPA,3.620526316
A B MILLER HIGH SCHOOL050944,A B MILLER HIGH SCHOOL,Fontana,San Bernardino,App GPA,3.522178218
ABLE CHARTER054651,ABLE CHARTER,Stockton,San Joaquin,Enrl GPA,
ABLE CHARTER054651,ABLE CHARTER,Stockton,San Joaquin,Adm GPA,
ABLE CHARTER054651,ABLE CHARTER,Stockton,San Joaquin,App GPA,3.38
ABRAHAM LINCOLN HIGH SCHOOL051520,ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,Enrl GPA,3.78
ABRAHAM LINCOLN HIGH SCHOOL051520,ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,Adm GPA,3.688235294
ABRAHAM LINCOLN HIGH SCHOOL051520,ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,App GPA,3.539220779
ABRAHAM LINCOLN HIGH SCHOOL052910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,Enrl GPA,3.817068966
ABRAHAM LINCOLN HIGH SCHOOL052910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,Adm GPA,3.7972
ABRAHAM LINCOLN HIGH SCHOOL052910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,App GPA,3.613290043
ABRAHAM LINCOLN HIGH SCHOOL053075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,Enrl GPA,3.895405405
ABRAHAM LINCOLN HIGH SCHOOL053075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,Adm GPA,3.877142857
ABRAHAM LINCOLN HIGH SCHOOL053075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,App GPA,3.782021277
ACAD FOR ACADEMIC EXCELLENCE050126,ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,Enrl GPA,4.005
ACAD FOR ACADEMIC EXCELLENCE050126,ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,Adm GPA,4.0065
ACAD FOR ACADEMIC EXCELLENCE050126,ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,App GPA,3.869090909
ACADEMIA AVANCE CHARTER SCHOOL054247,ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,Enrl GPA,3.84
ACADEMIA AVANCE CHARTER SCHOOL054247,ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,Adm GPA,3.688571429
ACADEMIA AVANCE CHARTER SCHOOL054247,ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,App GPA,3.527
ACADEMIC LEADERSHIP COMMUNITY054254,ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,Enrl GPA,3.892
ACADEMIC LEADERSHIP COMMUNITY054254,ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,Adm GPA,3.879230769
ACADEMIC LEADERSHIP COMMUNITY054254,ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,App GPA,3.5404
ACADEMIES EDUCATION/EMPOWERMNT054617,ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,Enrl GPA,4.0975
ACADEMIES EDUCATION/EMPOWERMNT054617,ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,Adm GPA,4.129
ACADEMIES EDUCATION/EMPOWERMNT054617,ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,App GPA,3.906333333
ACADEMY OF MEDICAL ARTS AT CARSON054618,ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,Enrl GPA,3.931818182
ACADEMY OF MEDICAL ARTS AT CARSON054618,ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,Adm GPA,3.912857143
ACADEMY OF MEDICAL ARTS AT CARSON054618,ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,App GPA,3.760277778
ACADEMY OF SCIENTIFIC EXPLORAT054563,ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,Enrl GPA,4.1225
ACADEMY OF SCIENTIFIC EXPLORAT054563,ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,Adm GPA,4.011818182
ACADEMY OF SCIENTIFIC EXPLORAT054563,ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,App GPA,3.726363636
ACADEMY OF THE CANYONS053262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,Enrl GPA,4.161
ACADEMY OF THE CANYONS053262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,Adm GPA,4.052777778
ACADEMY OF THE CANYONS053262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,App GPA,3.941458333
ACADEMY OF THE REDWOODS054135,ACADEMY OF THE REDWOODS,Eureka,Humboldt,Enrl GPA,4.03
ACADEMY OF THE REDWOODS054135,ACADEMY OF THE REDWOODS,Eureka,Humboldt,Adm GPA,4.067
ACADEMY OF THE REDWOODS054135,ACADEMY OF THE REDWOODS,Eureka,Humboldt,App GPA,3.984545455
ACADEMY SCIENCE & ENGINEERING054626,ACADEMY SCIENCE & ENGINEERING,Los Angeles,Los Angeles,Enrl GPA,
ACADEMY SCIENCE & ENGINEERING054626,ACADEMY SCIENCE & ENGINEERING,Los Angeles,Los Angeles,Adm GPA,
ACADEMY SCIENCE & ENGINEERING054626,ACADEMY SCIENCE & ENGINEERING,Los Angeles,Los Angeles,App GPA,3.63
ACADEMY-SAN FRAN @ MCATEER054439,ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,Enrl GPA,4.035
ACADEMY-SAN FRAN @ MCATEER054439,ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,Adm GPA,3.965714286
ACADEMY-SAN FRAN @ MCATEER054439,ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,App GPA,3.811578947
ACALANES HIGH SCHOOL051315,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,Enrl GPA,3.848955224
ACALANES HIGH SCHOOL051315,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,Adm GPA,3.83325
ACALANES HIGH SCHOOL051315,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,App GPA,3.776708861
ACE CHARTER HIGH SCHOOL054660,ACE CHARTER HIGH SCHOOL,San Jose,Santa Clara,Enrl GPA,3.6925
ACE CHARTER HIGH SCHOOL054660,ACE CHARTER HIGH SCHOOL,San Jose,Santa Clara,Adm GPA,3.768461538
ACE CHARTER HIGH SCHOOL054660,ACE CHARTER HIGH SCHOOL,San Jose,Santa Clara,App GPA,3.603157895
