Calculation1,School,City,County/State/Country,Measure Names,Measure Values
ACADEMY OF THE CANYONS053262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,Adm GPA,4.074042553
ACADEMY OF THE CANYONS053262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,App GPA,3.983134328
ACADEMY OF THE REDWOODS054135,ACADEMY OF THE REDWOODS,Eureka,Humboldt,Enrl GPA,3.981
ACADEMY OF THE REDWOODS054135,ACADEMY OF THE REDWOODS,Eureka,Humboldt,Adm GPA,4.003846154
ACADEMY OF THE REDWOODS054135,ACADEMY OF THE REDWOODS,Eureka,Humboldt,App GPA,3.952666667
ACADEMY-SAN FRAN @ MCATEER054439,ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,Enrl GPA,4.17
ACADEMY-SAN FRAN @ MCATEER054439,ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,Adm GPA,4.071111111
ACADEMY-SAN FRAN @ MCATEER054439,ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,App GPA,3.925384615
ACALANES HIGH SCHOOL051315,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,Enrl GPA,4.059705882
ACALANES HIGH SCHOOL051315,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,Adm GPA,3.985432099
ACALANES HIGH SCHOOL051315,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,App GPA,3.873181818
ACE CHARTER HIGH SCHOOL054660,ACE CHARTER HIGH SCHOOL,San Jose,Santa Clara,Enrl GPA,
ACE CHARTER HIGH SCHOOL054660,ACE CHARTER HIGH SCHOOL,San Jose,Santa Clara,Adm GPA,
ACE CHARTER HIGH SCHOOL054660,ACE CHARTER HIGH SCHOOL,San Jose,Santa Clara,App GPA,3.705
ADELANTO HIGH SCHOOL054672,ADELANTO HIGH SCHOOL,Adelanto,San Bernardino,Enrl GPA,4.025
ADELANTO HIGH SCHOOL054672,ADELANTO HIGH SCHOOL,Adelanto,San Bernardino,Adm GPA,4.013928571
ADELANTO HIGH SCHOOL054672,ADELANTO HIGH SCHOOL,Adelanto,San Bernardino,App GPA,3.780212766
ADOLFO CAMARILLO HIGH SCHOOL050438,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,Enrl GPA,4.118666667
ADOLFO CAMARILLO HIGH SCHOOL050438,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,Adm GPA,4.03125
ADOLFO CAMARILLO HIGH SCHOOL050438,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,App GPA,3.841465517
ADRIAN C WILCOX HIGH SCHOOL053276,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,Enrl GPA,4.121641791
ADRIAN C WILCOX HIGH SCHOOL053276,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,Adm GPA,4.091568627
ADRIAN C WILCOX HIGH SCHOOL053276,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,App GPA,3.987753623
AGOURA HIGH SCHOOL050003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,Enrl GPA,4.128888889
AGOURA HIGH SCHOOL050003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,Adm GPA,4.011235955
AGOURA HIGH SCHOOL050003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,App GPA,3.874755245
