Calculation1,School,City,County/State/Country,Measure Names,Measure Values
A B MILLER HIGH SCHOOL050944,A B MILLER HIGH SCHOOL,Fontana,San Bernardino,Enrl GPA,3.891363636
A B MILLER HIGH SCHOOL050944,A B MILLER HIGH SCHOOL,Fontana,San Bernardino,Adm GPA,3.659821429
A B MILLER HIGH SCHOOL050944,A B MILLER HIGH SCHOOL,Fontana,San Bernardino,App GPA,3.569333333
ABLE CHARTER054651,ABLE CHARTER,Stockton,San Joaquin,Enrl GPA,
ABLE CHARTER054651,ABLE CHARTER,Stockton,San Joaquin,Adm GPA,
ABLE CHARTER054651,ABLE CHARTER,Stockton,San Joaquin,App GPA,3.4975
ABRAHAM LINCOLN HIGH SCHOOL051520,ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,Enrl GPA,4.029
ABRAHAM LINCOLN HIGH SCHOOL051520,ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,Adm GPA,3.864705882
ABRAHAM LINCOLN HIGH SCHOOL051520,ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,App GPA,3.562096774
ABRAHAM LINCOLN HIGH SCHOOL052910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,Enrl GPA,3.971747573
ABRAHAM LINCOLN HIGH SCHOOL052910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,Adm GPA,3.916291391
ABRAHAM LINCOLN HIGH SCHOOL052910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,App GPA,3.70008
ABRAHAM LINCOLN HIGH SCHOOL053075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,Enrl GPA,4.098076923
ABRAHAM LINCOLN HIGH SCHOOL053075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,Adm GPA,3.987413793
ABRAHAM LINCOLN HIGH SCHOOL053075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,App GPA,3.8329
ACAD FOR ACADEMIC EXCELLENCE050126,ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,Enrl GPA,3.852857143
ACAD FOR ACADEMIC EXCELLENCE050126,ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,Adm GPA,3.956363636
ACAD FOR ACADEMIC EXCELLENCE050126,ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,App GPA,3.770909091
ACADEMIA AVANCE CHARTER SCHOOL054247,ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,Enrl GPA,
ACADEMIA AVANCE CHARTER SCHOOL054247,ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,Adm GPA,4.02625
ACADEMIA AVANCE CHARTER SCHOOL054247,ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,App GPA,3.680555556
ACADEMIC LEADERSHIP COMMUNITY054254,ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,Enrl GPA,3.883846154
ACADEMIC LEADERSHIP COMMUNITY054254,ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,Adm GPA,3.7145
ACADEMIC LEADERSHIP COMMUNITY054254,ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,App GPA,3.512121212
ACADEMIES EDUCATION/EMPOWERMNT054617,ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,Enrl GPA,4.114
ACADEMIES EDUCATION/EMPOWERMNT054617,ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,Adm GPA,4.062592593
ACADEMIES EDUCATION/EMPOWERMNT054617,ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,App GPA,3.875306122
ACADEMY OF CAREERS AND EXPLORA051123,ACADEMY OF CAREERS AND EXPLORA,Helendale,San Bernardino,Enrl GPA,
ACADEMY OF CAREERS AND EXPLORA051123,ACADEMY OF CAREERS AND EXPLORA,Helendale,San Bernardino,Adm GPA,
ACADEMY OF CAREERS AND EXPLORA051123,ACADEMY OF CAREERS AND EXPLORA,Helendale,San Bernardino,App GPA,3.915
ACADEMY OF MEDICAL ARTS AT CARSON054618,ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,Enrl GPA,4.1775
ACADEMY OF MEDICAL ARTS AT CARSON054618,ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,Adm GPA,4.055714286
ACADEMY OF MEDICAL ARTS AT CARSON054618,ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,App GPA,3.762432432
ACADEMY OF SCIENTIFIC EXPLORAT054563,ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,Enrl GPA,3.99375
ACADEMY OF SCIENTIFIC EXPLORAT054563,ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,Adm GPA,3.827222222
ACADEMY OF SCIENTIFIC EXPLORAT054563,ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,App GPA,3.692758621
ACADEMY OF THE CANYONS053262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,Enrl GPA,4.138275862
ACADEMY OF THE CANYONS053262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,Adm GPA,4.156486486
ACADEMY OF THE CANYONS053262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,App GPA,4.005454545
ACADEMY OF THE REDWOODS054135,ACADEMY OF THE REDWOODS,Eureka,Humboldt,Enrl GPA,3.96
ACADEMY OF THE REDWOODS054135,ACADEMY OF THE REDWOODS,Eureka,Humboldt,Adm GPA,3.82
ACADEMY OF THE REDWOODS054135,ACADEMY OF THE REDWOODS,Eureka,Humboldt,App GPA,3.608181818
ACADEMY-SAN FRAN @ MCATEER054439,ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,Enrl GPA,4.016666667
ACADEMY-SAN FRAN @ MCATEER054439,ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,Adm GPA,4.015
ACADEMY-SAN FRAN @ MCATEER054439,ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,App GPA,3.757916667
ACALANES HIGH SCHOOL051315,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,Enrl GPA,4.002127660
ACALANES HIGH SCHOOL051315,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,Adm GPA,3.908494624
ACALANES HIGH SCHOOL051315,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,App GPA,3.766939891
ACE CHARTER HIGH SCHOOL054660,ACE CHARTER HIGH SCHOOL,San Jose,Santa Clara,Enrl GPA,4.04
ACE CHARTER HIGH SCHOOL054660,ACE CHARTER HIGH SCHOOL,San Jose,Santa Clara,Adm GPA,3.968333333
ACE CHARTER HIGH SCHOOL054660,ACE CHARTER HIGH SCHOOL,San Jose,Santa Clara,App GPA,3.763333333
ADELANTO HIGH SCHOOL054672,ADELANTO HIGH SCHOOL,Adelanto,San Bernardino,Enrl GPA,3.929444444
ADELANTO HIGH SCHOOL054672,ADELANTO HIGH SCHOOL,Adelanto,San Bernardino,Adm GPA,3.935384615
ADELANTO HIGH SCHOOL054672,ADELANTO HIGH SCHOOL,Adelanto,San Bernardino,App GPA,3.724933333
ADOLFO CAMARILLO HIGH SCHOOL050438,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,Enrl GPA,4.115
ADOLFO CAMARILLO HIGH SCHOOL050438,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,Adm GPA,4.115818182
ADOLFO CAMARILLO HIGH SCHOOL050438,ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,App GPA,3.841739130
ADRIAN C WILCOX HIGH SCHOOL053276,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,Enrl GPA,4.142931034
ADRIAN C WILCOX HIGH SCHOOL053276,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,Adm GPA,4.092020202
ADRIAN C WILCOX HIGH SCHOOL053276,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,App GPA,3.949781022
AGOURA HIGH SCHOOL050003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,Enrl GPA,4.026530612
AGOURA HIGH SCHOOL050003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,Adm GPA,4.018681319
AGOURA HIGH SCHOOL050003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,App GPA,3.8533125
AIMS COLLEGE PREP HIGH SCHOOL054176,AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda,Enrl GPA,4.136956522
